Data_set,Boot,Max_sample,Cv,Max_feature,Number_of_est,Accuracy,F-score
wine.data,True,20,2,2,5,0.702020202020202,0.5675082361224151
wine.data,True,20,4,2,5,0.7259689922480621,0.6834138946595799
wine.data,True,20,6,2,5,0.6174603174603175,0.5734367749806013
wine.data,True,20,8,2,5,0.7278020892151327,0.700614149455262
wine.data,True,20,2,2,10,0.752020202020202,0.6742573885710661
wine.data,True,20,4,2,10,0.7492248062015503,0.7280410703940116
wine.data,True,20,6,2,10,0.7035714285714286,0.6766026302427496
wine.data,True,20,8,2,10,0.7476119894598154,0.7057569721801533
wine.data,True,20,2,2,15,0.6781565656565656,0.6067186480834974
wine.data,True,20,4,2,15,0.8939276485788112,0.8942557732168738
wine.data,True,20,6,2,15,0.8861111111111111,0.8870572521359975
wine.data,True,20,8,2,15,0.8187817617165443,0.8165783415606744
wine.data,True,20,2,2,20,0.8593434343434343,0.8546766846706302
wine.data,True,20,4,2,20,0.8095607235142119,0.8090507758740841
wine.data,True,20,6,2,20,0.8488095238095239,0.8448014585269488
wine.data,True,20,8,2,20,0.8650244682853379,0.8669892371130761
wine.data,True,20,2,4,5,0.8875,0.8869150881015118
wine.data,True,20,4,4,5,0.905297157622739,0.9064032733690053
wine.data,True,20,6,4,5,0.888888888888889,0.8874223893303402
wine.data,True,20,8,4,5,0.8930100696405044,0.8936724266445629
wine.data,True,20,2,4,10,0.9268939393939394,0.9279032557210523
wine.data,True,20,4,4,10,0.8775193798449612,0.8770185647200759
wine.data,True,20,6,4,10,0.8984126984126983,0.9019261239849475
wine.data,True,20,8,4,10,0.8878223226049313,0.8905590317548522
wine.data,True,20,2,4,15,0.8707070707070708,0.8752939339972987
wine.data,True,20,4,4,15,0.9439276485788113,0.9443814808425813
wine.data,True,20,6,4,15,0.9492063492063493,0.9494837497288477
wine.data,True,20,8,4,15,0.9100790513833992,0.9101527396322288
wine.data,True,20,2,4,20,0.9553030303030303,0.9560588023088024
wine.data,True,20,4,4,20,0.9550387596899225,0.9576742877557236
wine.data,True,20,6,4,20,0.9551587301587302,0.9566530506215075
wine.data,True,20,8,4,20,0.9332768680594767,0.9347355642150534
wine.data,True,20,2,6,5,0.9208333333333334,0.9207790064045878
wine.data,True,20,4,6,5,0.9375968992248063,0.9393420593876983
wine.data,True,20,6,6,5,0.9158730158730158,0.9177111950806257
wine.data,True,20,8,6,5,0.8581309994353472,0.8404437130266504
wine.data,True,20,2,6,10,0.9377525252525252,0.940348174198161
wine.data,True,20,4,6,10,0.9214470284237726,0.9235383948488787
wine.data,True,20,6,6,10,0.9186507936507936,0.9104792968390581
wine.data,True,20,8,6,10,0.9439229249011858,0.9442890510905217
wine.data,True,20,2,6,15,0.9377525252525252,0.9390854087536654
wine.data,True,20,4,6,15,0.9272609819121447,0.9277340806245472
wine.data,True,20,6,6,15,0.9277777777777777,0.9298481497862303
wine.data,True,20,8,6,15,0.9095379258422737,0.9132408305202422
wine.data,True,20,2,6,20,0.9776515151515152,0.9774611989534249
wine.data,True,20,4,6,20,0.9555555555555556,0.9557102055738205
wine.data,True,20,6,6,20,0.9607142857142859,0.9616301446650978
wine.data,True,20,8,6,20,0.9550395256916997,0.9567389557037389
wine.data,True,20,2,8,5,0.9607323232323233,0.9613118847676567
wine.data,True,20,4,8,5,0.9330749354005168,0.9345531836263369
wine.data,True,20,6,8,5,0.965873015873016,0.9662867704925855
wine.data,True,20,8,8,5,0.9441464332768681,0.9459052249493426
wine.data,True,20,2,8,10,0.9603535353535353,0.9606576749071059
wine.data,True,20,4,8,10,0.9661498708010337,0.9659929385130999
wine.data,True,20,6,8,10,0.9269841269841271,0.9297500195355447
wine.data,True,20,8,8,10,0.9496047430830039,0.9521572714780919
wine.data,True,20,2,8,15,0.9664141414141414,0.9671987675516989
wine.data,True,20,4,8,15,0.9547803617571059,0.9560738471901202
wine.data,True,20,6,8,15,0.9722222222222222,0.9713844571645082
wine.data,True,20,8,8,15,0.9661561264822134,0.9679459064327485
wine.data,True,20,2,8,20,0.9549242424242425,0.956382661354108
wine.data,True,20,4,8,20,0.9833333333333334,0.9836186583814668
wine.data,True,20,6,8,20,0.9773809523809525,0.9776756706581269
wine.data,True,20,8,8,20,0.9555335968379447,0.9572998098249647
wine.data,True,20,2,10,5,0.9271464646464647,0.9297919834650656
wine.data,True,20,4,10,5,0.9217054263565891,0.9226653792830264
wine.data,True,20,6,10,5,0.9277777777777777,0.9280859354505426
wine.data,True,20,8,10,5,0.9431112365894975,0.9440498567336802
wine.data,True,20,2,10,10,0.9377525252525252,0.938552343068375
wine.data,True,20,4,10,10,0.960077519379845,0.9613961161387632
wine.data,True,20,6,10,10,0.9603174603174605,0.9610042062884526
wine.data,True,20,8,10,10,0.9607213438735178,0.9616052656493833
wine.data,True,20,2,10,15,0.9719696969696969,0.9728726502935063
wine.data,True,20,4,10,15,0.9830749354005168,0.9837646580750029
wine.data,True,20,6,10,15,0.9662698412698413,0.9668382358066928
wine.data,True,20,8,10,15,0.9775197628458498,0.9787085667600374
wine.data,True,20,2,10,20,0.960479797979798,0.9613179678913093
wine.data,True,20,4,10,20,0.9497416020671834,0.9507219493557254
wine.data,True,20,6,10,20,0.9555555555555556,0.9569320430943798
wine.data,True,20,8,10,20,0.9834486166007905,0.9845059284397519
wine.data,True,20,2,12,5,0.9382575757575757,0.9387968471220285
wine.data,True,20,4,12,5,0.9661498708010335,0.9676910658590466
wine.data,True,20,6,12,5,0.9666666666666667,0.9678540652482862
wine.data,True,20,8,12,5,0.9601802183323922,0.961118211853506
wine.data,True,20,2,12,10,0.9431818181818181,0.9437767094017093
wine.data,True,20,4,12,10,0.9830749354005168,0.9832889670617866
wine.data,True,20,6,12,10,0.9611111111111111,0.9622478181727968
wine.data,True,20,8,12,10,0.966109072087333,0.9672526590483247
wine.data,True,20,2,12,15,0.9494949494949495,0.9490362485022655
wine.data,True,20,4,12,15,0.9719638242894056,0.9718907267632905
wine.data,True,20,6,12,15,0.9500000000000001,0.9519296704651395
wine.data,True,20,8,12,15,0.9715673818934688,0.9730423579688285
wine.data,True,20,2,12,20,0.9664141414141414,0.9677366238397431
wine.data,True,20,4,12,20,0.9722222222222222,0.9724023478103175
wine.data,True,20,6,12,20,0.9777777777777779,0.9774802433050516
wine.data,True,20,8,12,20,0.9720849802371542,0.9730219331322273
wine.data,True,20,2,14,5,0.9271464646464647,0.9283622423328305
wine.data,True,20,4,14,5,0.9719638242894056,0.9728578738033689
wine.data,True,20,6,14,5,0.9666666666666667,0.9668257863824786
wine.data,True,20,8,14,5,0.9596861471861472,0.9601266788766789
wine.data,True,20,2,14,10,0.9776515151515152,0.9787356008639064
wine.data,True,20,4,14,10,0.9833333333333334,0.9829734970911442
wine.data,True,20,6,14,10,0.9718253968253969,0.9722420750654699
wine.data,True,20,8,14,10,0.9612154150197628,0.9622945112592947
wine.data,True,20,2,14,15,0.9775252525252525,0.9782931237010934
wine.data,True,20,4,14,15,0.9722222222222222,0.9726951922208089
wine.data,True,20,6,14,15,0.9777777777777779,0.978675645342312
wine.data,True,20,8,14,15,0.9599331827592696,0.9590624373906108
wine.data,True,20,2,14,20,0.9775252525252525,0.9775358668057387
wine.data,True,20,4,14,20,0.9719638242894056,0.9726025485951957
wine.data,True,20,6,14,20,0.9777777777777779,0.9785112112477842
wine.data,True,20,8,14,20,0.9826839826839827,0.9831322272498744
wine.data,True,40,2,2,5,0.8707070707070708,0.8725303867028004
wine.data,True,40,4,2,5,0.6218346253229974,0.5662426053399685
wine.data,True,40,6,2,5,0.7126984126984127,0.6724080925519487
wine.data,True,40,8,2,5,0.6982048748353096,0.6599215065744202
wine.data,True,40,2,2,10,0.859469696969697,0.856415189343316
wine.data,True,40,4,2,10,0.8133074935400517,0.7739217446443691
wine.data,True,40,6,2,10,0.7992063492063491,0.776961742268872
wine.data,True,40,8,2,10,0.8200875211744777,0.8151027403252635
wine.data,True,40,2,2,15,0.8882575757575758,0.8786022778084641
wine.data,True,40,4,2,15,0.9434108527131783,0.944630289065773
wine.data,True,40,6,2,15,0.8773809523809524,0.8613135273892955
wine.data,True,40,8,2,15,0.8487907020515716,0.8295982053255071
wine.data,True,40,2,2,20,0.8702020202020202,0.8584318231518036
wine.data,True,40,4,2,20,0.8585271317829457,0.862700933129425
wine.data,True,40,6,2,20,0.9027777777777778,0.8896670992822711
wine.data,True,40,8,2,20,0.9263128176171654,0.9296726686626068
wine.data,True,40,2,4,5,0.8987373737373737,0.9010771744595274
wine.data,True,40,4,4,5,0.8259689922480621,0.8223679370738194
wine.data,True,40,6,4,5,0.8825396825396826,0.8659726719290589
wine.data,True,40,8,4,5,0.8234754376058724,0.8067148157819009
wine.data,True,40,2,4,10,0.9438131313131313,0.9449791925966378
wine.data,True,40,4,4,10,0.9151162790697673,0.9186213037745786
wine.data,True,40,6,4,10,0.9051587301587302,0.906455317867464
wine.data,True,40,8,4,10,0.9271245059288538,0.9314139972228208
wine.data,True,40,2,4,15,0.9382575757575757,0.9396571766938406
wine.data,True,40,4,4,15,0.9439276485788114,0.9447495122050183
wine.data,True,40,6,4,15,0.9325396825396824,0.9345792609780584
wine.data,True,40,8,4,15,0.9206780538302277,0.9222921202894113
wine.data,True,40,2,4,20,0.9549242424242425,0.9556413139306559
wine.data,True,40,4,4,20,0.960594315245478,0.9612497078875163
wine.data,True,40,6,4,20,0.9551587301587303,0.9573894753719315
wine.data,True,40,8,4,20,0.948051948051948,0.9493422599072754
wine.data,True,40,2,6,5,0.8815656565656567,0.8844798095370179
wine.data,True,40,4,6,5,0.915891472868217,0.9195438064792903
wine.data,True,40,6,6,5,0.9436507936507937,0.9456645842736388
wine.data,True,40,8,6,5,0.9160079051383399,0.9160314888176142
wine.data,True,40,2,6,10,0.8815656565656567,0.8823653198653199
wine.data,True,40,4,6,10,0.9272609819121447,0.9288901812134734
wine.data,True,40,6,6,10,0.9214285714285714,0.9231778686432746
wine.data,True,40,8,6,10,0.9446640316205533,0.9471381366311706
wine.data,True,40,2,6,15,0.9266414141414141,0.9280647354927922
wine.data,True,40,4,6,15,0.9388888888888889,0.93995808347355
wine.data,True,40,6,6,15,0.942857142857143,0.9429329250365056
wine.data,True,40,8,6,15,0.9663796348578957,0.9687508544803437
wine.data,True,40,2,6,20,0.9493686868686869,0.9514583279542854
wine.data,True,40,4,6,20,0.9719638242894056,0.9724370005331422
wine.data,True,40,6,6,20,0.9662698412698414,0.9664522216440375
wine.data,True,40,8,6,20,0.9436288349331827,0.9435585316100021
wine.data,True,40,2,8,5,0.9382575757575757,0.9386735955073495
wine.data,True,40,4,8,5,0.9552971576227389,0.9571547802191018
wine.data,True,40,6,8,5,0.953968253968254,0.9534604212055192
wine.data,True,40,8,8,5,0.9384646150950499,0.9396286032508943
wine.data,True,40,2,8,10,0.9664141414141414,0.9677832244008715
wine.data,True,40,4,8,10,0.9547803617571059,0.9557026317557626
wine.data,True,40,6,8,10,0.9269841269841269,0.9296480105729893
wine.data,True,40,8,8,10,0.9550159984942593,0.9560511316026022
wine.data,True,40,2,8,15,0.9664141414141414,0.9670608785382475
wine.data,True,40,4,8,15,0.9545219638242893,0.9555438556541498
wine.data,True,40,6,8,15,0.9718253968253969,0.9722707118274041
