Data_set,Cv,Number_of_est,Max_depth,Accuracy,F-score,Max_feature
wine.data,2,10,1,0.8880050505050505,0.8822406665054492,2
wine.data,4,10,1,0.8989664082687339,0.9017605702668389,2
wine.data,6,10,1,0.9317460317460317,0.9327919247428379,2
wine.data,8,10,1,0.9315005646527386,0.9327344403389295,2
wine.data,2,20,1,0.9381313131313131,0.9391646397605855,2
wine.data,4,20,1,0.9439276485788114,0.9434477075567639,2
wine.data,6,20,1,0.9603174603174603,0.9613956869172914,2
wine.data,8,20,1,0.9552865612648221,0.9579372127843491,2
wine.data,2,30,1,0.920959595959596,0.9160331384015594,2
wine.data,4,30,1,0.9722222222222222,0.9715507421959035,2
wine.data,6,30,1,0.9384920634920634,0.9381325142338289,2
wine.data,8,30,1,0.9263363448146057,0.9249889579804441,2
wine.data,2,40,1,0.9551767676767677,0.9545282923822915,2
wine.data,4,40,1,0.9608527131782946,0.9625190907924396,2
wine.data,6,40,1,0.9488095238095239,0.9501214780343868,2
wine.data,8,40,1,0.9441699604743083,0.9439645722927457,2
wine.data,2,50,1,0.9553030303030303,0.9575479428458484,2
wine.data,4,50,1,0.960594315245478,0.9621047678602234,2
wine.data,6,50,1,0.9662698412698414,0.9683249638990654,2
wine.data,8,50,1,0.9661325992847731,0.9673923026864204,2
wine.data,2,60,1,0.9436868686868687,0.943639027326757,2
wine.data,4,60,1,0.9886304909560724,0.9895320598323936,2
wine.data,6,60,1,0.9555555555555556,0.9557019304959807,2
wine.data,8,60,1,0.9490400903444383,0.9491372121886827,2
wine.data,2,10,1,0.8881313131313131,0.8924638640626724,4
wine.data,4,10,1,0.8997416020671835,0.8971497410512226,4
wine.data,6,10,1,0.9325396825396827,0.9332344751720397,4
wine.data,8,10,1,0.9374294184076792,0.9368390231199829,4
wine.data,2,20,1,0.9212121212121211,0.9237620957473898,4
wine.data,4,20,1,0.9330749354005168,0.9342641879252067,4
wine.data,6,20,1,0.9214285714285716,0.9243056744335516,4
wine.data,8,20,1,0.9439229249011858,0.9408453882718588,4
wine.data,2,30,1,0.9493686868686869,0.9498543112540234,4
wine.data,4,30,1,0.9047803617571059,0.9066442546270724,4
wine.data,6,30,1,0.9666666666666667,0.9668590158588812,4
wine.data,8,30,1,0.9490871447393187,0.9482592298768769,4
wine.data,2,40,1,0.9157828282828282,0.9165775805882508,4
wine.data,4,40,1,0.9494832041343669,0.9506703100367193,4
wine.data,6,40,1,0.9440476190476191,0.9449148108264408,4
wine.data,8,40,1,0.9488401091661961,0.9500224763769656,4
wine.data,2,50,1,0.9102272727272727,0.9104784514463269,4
wine.data,4,50,1,0.9270025839793281,0.9266733977517635,4
wine.data,6,50,1,0.938095238095238,0.9394608324957856,4
wine.data,8,50,1,0.9496047430830039,0.9512679987138192,4
wine.data,2,60,1,0.9550505050505051,0.9560826280509858,4
wine.data,4,60,1,0.9550387596899225,0.9558953555307276,4
wine.data,6,60,1,0.9384920634920636,0.9386100037330576,4
wine.data,8,60,1,0.9609683794466404,0.9621433076154439,4
wine.data,2,10,1,0.8755050505050506,0.8792566148541849,6
wine.data,4,10,1,0.9037467700258398,0.9060896621340273,6
wine.data,6,10,1,0.8488095238095239,0.8181405957503008,6
