Data_set,Layer_size,Activation,CV,Solver,Accuracy,F-score
wine.data,"(5,)",relu,2,adam,0.37664141414141417,0.20838601770957893
wine.data,"(5,)",relu,4,adam,0.4178294573643411,0.26626984126984127
wine.data,"(5,)",relu,6,adam,0.28769841269841273,0.182149551149592
wine.data,"(5,)",relu,8,adam,0.2531055900621118,0.1656001172480836
wine.data,"(5,)",relu,2,sgd,0.42108585858585856,0.258223807534518
wine.data,"(5,)",relu,4,sgd,0.33139534883720934,0.21204396165696476
wine.data,"(5,)",relu,6,sgd,0.35873015873015873,0.19863874863874864
wine.data,"(5,)",relu,8,sgd,0.3503317334839074,0.2296225107237343
wine.data,"(5,)",relu,2,adam,0.668939393939394,0.6406070090226068
wine.data,"(5,)",relu,4,adam,0.6985788113695091,0.6521276396674558
wine.data,"(5,)",relu,6,adam,0.7452380952380953,0.7066167486855183
wine.data,"(5,)",relu,8,adam,0.6246353284396763,0.5492359993160328
wine.data,"(5,)",relu,2,sgd,0.4650252525252525,0.35229856918166447
wine.data,"(5,)",relu,4,sgd,0.4337209302325581,0.31419531416516266
wine.data,"(5,)",relu,6,sgd,0.4623015873015874,0.34657891469935875
wine.data,"(5,)",relu,8,sgd,0.43324157726331636,0.32339324682734805
wine.data,"(10,)",relu,2,adam,0.4113636363636364,0.3187939611881663
wine.data,"(10,)",relu,4,adam,0.41421188630490957,0.2741530208921513
wine.data,"(10,)",relu,6,adam,0.32539682539682535,0.20587889476778365
wine.data,"(10,)",relu,8,adam,0.3433441558441558,0.19902341831221143
wine.data,"(10,)",relu,2,sgd,0.30845959595959593,0.1565007630581401
wine.data,"(10,)",relu,4,sgd,0.3116279069767442,0.21898361572274613
wine.data,"(10,)",relu,6,sgd,0.3567460317460318,0.2257141683970952
wine.data,"(10,)",relu,8,sgd,0.27533879164313946,0.1662296445588623
wine.data,"(10,)",relu,2,adam,0.7767676767676768,0.7257142857142856
wine.data,"(10,)",relu,4,adam,0.8903100775193797,0.8878655191445547
wine.data,"(10,)",relu,6,adam,0.9373015873015872,0.9384091041281329
wine.data,"(10,)",relu,8,adam,0.9384410878976097,0.9382371212092575
wine.data,"(10,)",relu,2,sgd,0.38737373737373737,0.2270646289229332
wine.data,"(10,)",relu,4,sgd,0.5766149870801033,0.4746691235165771
wine.data,"(10,)",relu,6,sgd,0.5059523809523808,0.37637780117972536
wine.data,"(10,)",relu,8,sgd,0.6556912290607944,0.5881610676026984
wine.data,"(15,)",relu,2,adam,0.38181818181818183,0.19261263827564923
wine.data,"(15,)",relu,4,adam,0.3948320413436692,0.2527221224008769
wine.data,"(15,)",relu,6,adam,0.31468253968253973,0.16230535695145495
wine.data,"(15,)",relu,8,adam,0.32160502540937325,0.20832587408475933
wine.data,"(15,)",relu,2,sgd,0.22436868686868686,0.13532659241990244
wine.data,"(15,)",relu,4,sgd,0.258656330749354,0.14423699870855913
wine.data,"(15,)",relu,6,sgd,0.3087301587301587,0.21566951166031914
wine.data,"(15,)",relu,8,sgd,0.3035479013739883,0.1859453817787151
wine.data,"(15,)",relu,2,adam,0.8875,0.8801648770756321
wine.data,"(15,)",relu,4,adam,0.944186046511628,0.9471527608627992
wine.data,"(15,)",relu,6,adam,0.9718253968253968,0.9720848191806596
wine.data,"(15,)",relu,8,adam,0.9004211368341803,0.8810928783548753
wine.data,"(15,)",relu,2,sgd,0.675,0.6366872330271629
