K,Metric,Dataset,Voting,CV,Accuracy,F-score,Precision,Recall
3,chebyshev,iris,uniform,2,0.9733333333333334,0.9733226623982927,0.9738247863247864,0.9733333333333334
3,chebyshev,iris,uniform,3,0.9726307189542484,0.9724403310610207,0.9762833008447043,0.9726307189542484
3,chebyshev,iris,uniform,4,0.9658119658119658,0.9656082189415524,0.9678571428571429,0.9658119658119658
3,chebyshev,iris,uniform,5,0.96,0.9598319029897977,0.9634343434343433,0.96
3,chebyshev,iris,uniform,6,0.9591049382716049,0.9588381356441212,0.9632716049382716,0.9591049382716049
5,chebyshev,iris,uniform,2,0.9533333333333334,0.9533253301320528,0.9535683760683761,0.9533333333333334
5,chebyshev,iris,uniform,3,0.9595588235294118,0.9594874112347233,0.9616519512288346,0.9595588235294118
5,chebyshev,iris,uniform,4,0.9663461538461539,0.9663150831991412,0.9677960927960928,0.9663461538461539
5,chebyshev,iris,uniform,5,0.96,0.9598319029897976,0.9634343434343435,0.96
5,chebyshev,iris,uniform,6,0.9537037037037037,0.9536301265145436,0.9558641975308642,0.9537037037037037
7,chebyshev,iris,uniform,2,0.9533333333333334,0.9532986271431649,0.9545346628679962,0.9533333333333333
7,chebyshev,iris,uniform,3,0.9660947712418301,0.9660290177763297,0.9678247907350074,0.9660947712418301
7,chebyshev,iris,uniform,4,0.9588675213675214,0.9584302117635451,0.9654761904761905,0.9588675213675214
7,chebyshev,iris,uniform,5,0.96,0.9599331662489557,0.9624242424242425,0.96
7,chebyshev,iris,uniform,6,0.9652777777777778,0.9649756198775807,0.9703703703703703,0.9652777777777778
9,chebyshev,iris,uniform,2,0.9333333333333333,0.932876199435814,0.9408369408369409,0.9333333333333332
9,chebyshev,iris,uniform,3,0.9473039215686274,0.9472801567678228,0.9480301379811183,0.9473039215686274
9,chebyshev,iris,uniform,4,0.9738247863247863,0.9738032123539371,0.9748168498168499,0.9738247863247864
9,chebyshev,iris,uniform,5,0.9666666666666668,0.9664818612187034,0.9707070707070707,0.9666666666666668
9,chebyshev,iris,uniform,6,0.9737654320987654,0.9735566448801743,0.9775533108866442,0.9737654320987654
11,chebyshev,iris,uniform,2,0.96,0.9599358974358974,0.9618894256575417,0.96
11,chebyshev,iris,uniform,3,0.9591503267973857,0.9591390091390092,0.9598765432098766,0.9591503267973857
11,chebyshev,iris,uniform,4,0.9594017094017093,0.9593344068706388,0.9612887112887114,0.9594017094017094
11,chebyshev,iris,uniform,5,0.9533333333333334,0.952704878266865,0.9613830613830615,0.9533333333333334
11,chebyshev,iris,uniform,6,0.9675925925925926,0.9673646944157781,0.9719977553310887,0.9675925925925926
13,chebyshev,iris,uniform,2,0.96,0.9599572649572649,0.960901771336554,0.96
13,chebyshev,iris,uniform,3,0.960375816993464,0.9603520521926594,0.9611020334059551,0.960375816993464
13,chebyshev,iris,uniform,4,0.9599358974358974,0.959914323465048,0.960927960927961,0.9599358974358975
13,chebyshev,iris,uniform,5,0.9666666666666666,0.9664818612187034,0.9707070707070707,0.9666666666666666
13,chebyshev,iris,uniform,6,0.9591049382716048,0.9590041279669763,0.962037037037037,0.9591049382716048
15,chebyshev,iris,uniform,2,0.96,0.9598068665097651,0.9646658152405279,0.96
15,chebyshev,iris,uniform,3,0.9669117647058822,0.9668823410758894,0.9680010893246188,0.9669117647058822
15,chebyshev,iris,uniform,4,0.9738247863247863,0.9735532233883059,0.9779647435897436,0.9738247863247863
15,chebyshev,iris,uniform,5,0.9666666666666666,0.9666165413533834,0.9684848484848484,0.9666666666666666
15,chebyshev,iris,uniform,6,0.9729938271604938,0.9728930168558652,0.9759259259259259,0.9729938271604938
17,chebyshev,iris,uniform,2,0.9466666666666667,0.9464739729693563,0.9507575757575758,0.9466666666666665
17,chebyshev,iris,uniform,3,0.9526143790849674,0.9526087202557791,0.9529774872912128,0.9526143790849674
